食品名,エネルギー（kcal）
アーモンド　いり　無塩,608
あさ　乾,450
あまに　いり,540
えごま　乾,523
カシューナッツ　フライ　味付け,591
かぼちゃ　いり　味付け,590
かや　いり,629
ぎんなん　生,168
ぎんなん　ゆで,169
（くり類）　日本ぐり　生,147
（くり類）　日本ぐり　ゆで,152
（くり類）　日本ぐり　甘露煮,232
（くり類）　中国ぐり　甘ぐり,207
くるみ　いり,713
けし　乾,555
ココナッツ　ココナッツパウダー,676
ごま　乾,604
ごま　いり,605
ごま　むき,570
ごま　ねり,646
しい　生,244
すいか　いり　味付け,528
チアシード　乾,446
とち　蒸し,148
はす　未熟　生,81
はす　成熟　乾,327
はす　成熟　ゆで,118
（ひし類）　ひし　生,183
（ひし類）　とうびし　生,122
（ひし類）　とうびし　ゆで,120
ピスタチオ　いり　味付け,617
ひまわり　フライ　味付け,587
ブラジルナッツ　フライ　味付け,703
ヘーゼルナッツ　フライ　味付け,701
ペカン　フライ　味付け,716
マカダミアナッツ　いり　味付け,751
まつ　生,681
まつ　いり,724
らっかせい　大粒種　乾,572
らっかせい　大粒種　いり,613
らっかせい　小粒種　乾,573
らっかせい　小粒種　いり,607
らっかせい　バターピーナッツ,609
らっかせい　ピーナッツバター,599
アーティチョーク　花らい　生,39
アーティチョーク　花らい　ゆで,35
あさつき　葉　生,34
あさつき　葉　ゆで,41
あしたば　茎葉　生,30
あしたば　茎葉　ゆで,28
アスパラガス　若茎　生,21
アスパラガス　若茎　ゆで,25
アスパラガス　若茎　油いため,54
アスパラガス　水煮缶詰,24
アロエ　葉　生,3
いんげんまめ　さやいんげん　若ざや　生,23
いんげんまめ　さやいんげん　若ざや　ゆで,25
（うど類）　うど　茎　生,19
（うど類）　うど　茎　水さらし,13
（うど類）　やまうど　茎　生,19
うるい　葉　生,19
えだまめ　生,125
えだまめ　ゆで,118
えだまめ　冷凍,143
エンダイブ　葉　生,14
（えんどう類）　トウミョウ　茎葉　生,28
（えんどう類）　トウミョウ　芽ばえ　生,27
